	A1	A2	A3	A4	A5	B1	B2	B3	B4	B5	B6
gene_1023	3	7	0	21	1	4	1	0	0	1	8
gene_1024	1	0	0	1	0	0	3	0	0	2	0
gene_1025	7	0	4	0	0	0	0	3	0	0	2
gene_1026	26	21	36	44	41	32	11	9	38	27	25
gene_1027	0	1	23	2	2	0	1	3	3	0	0
gene_1028	3	0	9	39	1	0	5	3	4	0	0
gene_1029	8	10	14	8	21	18	12	9	11	8	10
gene_1030	77	52	76	55	49	106	68	24	91	52	52
gene_1031	0	0	6	1	1	0	0	4	0	1	0
gene_1032	0	0	2	2	0	6	0	0	1	0	0
gene_1033	130	225	199	230	551	74	141	44	58	94	119
gene_1034	31	93	183	129	73	97	165	104	170	72	184
gene_1035	296	389	365	498	408	499	414	294	511	469	270
gene_1036	166	116	41	26	50	170	50	73	45	22	64
gene_1037	35	46	26	21	35	45	48	63	28	42	43
gene_1038	2	2	5	6	6	23	2	1	21	2	5
gene_1039	130	155	120	171	116	131	129	130	120	135	108
gene_1040	7	2	2	8	19	8	16	6	10	12	7
gene_1041	19	15	18	19	13	18	22	19	17	18	18
gene_1042	95	49	65	55	41	41	27	22	26	22	53
gene_1043	0	17	0	4	9	2	0	4	0	5	0
gene_1044	0	2	5	1	3	0	0	1	2	0	0
gene_1045	318	537	417	469	471	344	337	377	604	365	351
gene_1046	14	40	14	24	2	4	16	55	23	14	24
gene_1047	10	26	27	37	10	34	28	11	45	16	31
gene_1048	84	60	65	61	60	48	51	42	57	68	66
gene_1049	42	16	30	45	22	23	18	21	28	5	17
gene_1050	14	25	12	26	27	22	6	9	29	11	10
gene_1051	0	3	9	53	0	0	0	23	7	4	8
gene_1052	65	51	40	50	64	46	48	42	50	47	46
gene_1053	53	16	30	25	16	22	4	5	41	15	19
gene_1054	102	38	68	56	89	55	116	73	64	55	62
gene_1055	58	87	63	46	64	77	66	64	94	90	58
gene_1056	3	10	3	20	14	8	2	2	16	33	8
gene_1057	144	182	99	165	91	133	58	95	131	119	161
gene_1058	64	71	47	57	63	54	63	54	63	56	57
gene_1059	18	26	35	36	25	24	23	21	12	15	16
gene_1060	23	7	8	23	19	22	14	16	34	25	16
gene_1061	94	72	112	103	110	90	85	87	84	96	106
gene_1062	71	50	28	44	47	42	40	56	46	42	40
gene_1063	60	59	33	88	92	44	69	51	64	40	63
gene_1064	21	22	18	20	22	11	12	16	20	20	12
gene_1065	70	79	54	70	67	76	74	48	73	67	54
gene_1066	0	1	2	1	0	0	0	6	3	0	4
gene_1067	31	19	30	21	16	21	22	25	17	23	21
gene_1068	24	3	17	0	11	12	6	16	11	1	7
gene_1069	4	7	12	4	2	8	7	0	2	4	9
gene_1070	26	34	26	54	1	30	41	53	92	62	31
gene_1071	144	159	187	194	130	225	162	86	236	108	75
gene_1072	4	3	10	3	3	0	0	0	0	8	2
gene_1073	0	1	0	0	0	2	0	1	0	0	2
gene_1074	0	17	12	16	0	3	5	22	16	9	11
gene_1075	5	1	33	7	2	7	4	8	26	1	11
gene_1076	40	14	40	16	5	32	44	19	31	9	24
gene_1077	31	32	10	51	88	59	28	1	147	71	53
gene_1078	0	4	0	14	0	0	0	2	3	0	1
gene_1079	20	0	18	0	15	9	7	16	3	1	3
gene_1080	5	2	10	1	6	9	7	11	0	4	1
gene_1081	35	25	27	25	20	18	18	33	30	29	18
gene_1082	3	0	3	1	3	0	2	1	0	0	0
gene_1083	29	10	23	9	13	10	5	12	12	10	8
gene_1084	48	22	26	39	20	17	36	47	29	36	59
gene_1085	302	346	317	254	307	239	277	197	436	308	214
gene_1086	2	47	0	0	0	1	0	26	3	3	0
gene_1087	26	14	20	20	17	11	24	11	16	16	17
gene_1088	73	17	13	18	80	84	24	76	27	38	49
gene_1089	19	30	9	18	67	26	19	23	39	15	11
gene_1090	17	28	16	22	19	4	32	15	5	27	10
gene_1091	237	204	126	178	171	226	219	217	170	225	129
gene_1092	571	918	268	416	950	493	355	1005	339	604	950
gene_1093	74	85	65	54	66	102	80	103	75	59	63
gene_1094	1	2	4	1	3	0	6	1	9	3	1
gene_1095	1	3	1	3	1	7	1	2	0	0	5
gene_1096	7	57	7	37	19	1	8	0	3	21	0
gene_1097	194	251	220	246	211	245	216	250	268	229	238
gene_1098	43	43	46	65	47	33	45	35	36	34	35
gene_1099	1	2	2	3	2	0	2	3	8	15	0
gene_1100	71	31	49	65	43	53	49	71	30	63	52
gene_1101	17	16	0	2	24	7	9	0	9	0	0
gene_1102	19	24	4	5	1	23	41	11	34	46	25
gene_1103	8	8	3	3	3	9	1	7	2	5	8
gene_1104	4	15	2	10	6	3	3	15	12	4	5
gene_1105	27	10	39	22	17	36	20	15	21	14	21
gene_1106	0	9	2	0	0	1	0	0	0	0	27
gene_1107	12	5	8	14	15	11	11	8	4	14	9
gene_1108	38	30	48	34	31	64	66	60	34	52	62
gene_1109	1	4	1	1	2	1	2	5	3	2	0
gene_1110	9	4	3	4	0	0	3	2	0	0	3
gene_1111	9	5	4	0	1	0	0	25	0	8	0
gene_1112	90	0	4	0	34	0	10	5	6	36	0
gene_1113	28	24	69	65	20	71	10	7	51	33	42
gene_1114	9	5	18	9	10	5	9	4	9	14	8
gene_1115	14	20	5	17	27	4	17	18	25	6	17
gene_1116	116	144	68	30	13	104	92	7	147	248	481
gene_1117	157	160	179	181	206	182	168	156	169	153	161
gene_1118	664	376	241	550	546	278	513	354	671	315	440
gene_1119	37	20	18	12	24	26	36	29	14	16	22
gene_1120	37	49	39	31	32	47	26	29	30	34	47
gene_1121	1	0	4	0	0	2	11	1	0	0	0
gene_1122	90	89	66	163	137	105	67	60	73	121	124
gene_1123	86	100	74	65	65	83	35	134	59	87	80
gene_1124	10	2	14	13	11	19	6	10	10	12	15
gene_1125	45	66	52	108	78	267	94	46	44	16	75
gene_1126	59	56	55	60	37	61	99	71	51	71	73
gene_1127	385	387	368	399	368	376	407	378	358	372	411
gene_1128	0	3	2	4	7	6	1	4	0	0	2
gene_1129	1	4	0	0	1	1	1	2	0	0	0
gene_1130	96	59	56	88	93	43	77	66	108	228	88
gene_1131	699	804	584	666	1406	572	802	182	672	785	203
gene_1132	9	3	1	0	2	1	1	1	5	4	2
gene_1133	33	40	35	27	32	41	38	31	37	45	61
gene_1134	43	31	34	24	32	34	23	45	48	26	45
gene_1135	497	543	131	518	390	404	292	547	77	170	380
gene_1136	50	97	70	206	84	89	71	52	119	39	154
gene_1137	260	301	247	252	287	276	241	255	271	255	252
gene_1138	0	1	0	13	2	0	8	1	0	7	1
gene_1139	14	12	15	11	11	8	9	11	7	8	11
gene_1140	5	11	17	27	19	4	2	2	3	29	1
gene_1141	2	0	0	2	4	0	0	0	0	3	21
gene_1142	0	12	2	0	3	6	1	13	5	3	2
gene_1143	168	30	130	136	56	166	41	91	215	235	54
gene_1144	30	51	33	36	47	27	33	41	53	55	37
gene_1145	76	72	57	74	76	58	59	62	67	74	62
gene_1146	6	5	9	51	32	26	14	33	9	7	28
gene_1147	109	25	72	57	6	25	37	40	9	24	11
gene_1148	157	82	157	104	11	24	153	152	255	28	19
gene_1149	0	0	1	2	0	1	0	2	1	1	1
gene_1150	2	4	1	4	2	5	6	1	4	1	2
gene_1151	94	68	51	69	105	77	80	57	77	64	67
gene_1152	61	81	95	80	140	68	64	67	50	72	59
gene_1153	109	95	75	52	86	202	142	152	82	111	210
gene_1154	12	6	11	8	8	20	9	8	8	7	11
gene_1155	86	42	112	150	74	65	44	74	118	63	49
gene_1156	3	78	27	47	292	32	71	41	21	42	48
gene_1157	34	60	104	44	38	56	53	91	108	54	68
gene_1158	2	0	1	0	0	0	0	0	0	0	0
gene_1159	6	20	0	4	1	2	8	0	2	1	6
gene_1160	16	11	9	14	17	10	10	15	13	8	14
gene_1161	10	12	11	4	13	11	12	18	9	26	13
gene_1162	16	20	23	8	16	8	8	10	57	30	24
gene_1163	243	143	158	146	273	145	71	83	113	169	146
gene_1164	5	14	16	4	5	5	4	11	4	3	9
gene_1165	13	18	11	25	22	13	14	13	15	9	17
gene_1166	72	68	60	77	70	54	84	73	101	70	79
gene_1167	4	5	0	2	1	2	4	1	0	3	1
gene_1168	79	86	116	87	80	92	87	115	95	101	88
gene_1169	268	268	241	250	214	320	242	242	234	236	315
gene_1170	174	260	111	135	90	75	188	116	162	144	127
gene_1171	2354	2562	1854	2635	1977	2411	1422	2354	2015	2336	2346
gene_1172	1	0	0	0	1	1	1	2	0	2	0
gene_1173	13	18	17	18	11	12	11	19	19	18	15
gene_1174	30	13	81	95	33	171	40	126	23	180	138
gene_1175	61	4	33	3	0	0	13	16	7	3	3
gene_1176	107	86	103	163	68	50	215	189	144	82	71
gene_1177	16	14	36	20	27	19	41	23	15	22	28
gene_1178	237	351	290	280	181	20	247	192	71	28	60
gene_1179	4	6	4	0	1	1	2	6	6	6	3
gene_1180	80	67	60	59	123	136	107	139	99	52	205
gene_1181	199	193	86	119	156	107	112	84	119	169	64
gene_1182	10	17	8	31	7	17	16	25	23	29	11
gene_1183	0	0	0	1	0	6	4	0	0	0	0
gene_1184	3	1	3	0	0	0	2	0	1	0	3
gene_1185	0	0	0	2	0	1	0	2	2	1	1
gene_1186	0	0	0	0	6	0	0	6	0	0	2
gene_1187	21	40	19	29	30	29	14	15	35	12	22
gene_1188	5	3	6	13	15	25	12	18	11	19	10
gene_1189	27	15	7	3	14	3	15	5	0	4	1
gene_1190	5	10	10	3	11	9	13	5	6	12	10
gene_1191	26	1	15	1	27	14	27	0	2	1	1
gene_1192	694	703	911	668	844	733	500	672	645	496	533
gene_1193	6	15	13	8	6	10	4	5	9	4	10
gene_1194	9	14	0	0	1	0	1	0	10	9	15
gene_1195	5	2	4	16	8	5	5	5	4	10	4
gene_1196	2	13	3	19	5	3	3	14	0	5	17
gene_1197	40	23	16	26	25	25	19	34	18	37	36
gene_1198	4	3	3	1	0	3	0	15	0	0	0
gene_1199	0	3	0	0	0	2	0	0	1	0	0
gene_1200	1279	1180	1228	1233	1433	1293	1214	1126	1454	1369	1477
gene_1201	14	55	20	54	10	24	33	53	34	14	24
gene_1202	0	0	1	0	1	0	2	0	0	0	0
gene_1203	56	43	50	56	59	65	53	42	62	53	45
gene_1204	98	103	120	115	97	105	84	98	79	99	103
gene_1205	26	4	53	27	42	60	27	45	45	33	17
gene_1206	12	16	75	12	15	39	7	9	9	25	2
gene_1207	1	67	98	194	14	2	15	11	18	30	2
gene_1208	0	0	1	1	0	0	0	0	0	1	0
gene_1209	0	0	2	1	0	0	0	0	0	0	0
gene_1210	2	0	0	0	2	0	2	0	0	4	0
gene_1211	28	42	2	16	3	22	65	71	0	0	0
gene_1212	179	246	131	119	174	143	212	123	222	128	95
gene_1213	0	1	1	0	0	1	0	0	0	0	1
gene_1214	2	9	3	2	4	6	7	5	4	4	5
gene_1215	98	68	21	28	22	56	38	26	44	52	6
gene_1216	409	364	411	608	67	434	32	977	404	435	238
gene_1217	153	186	239	175	113	151	116	161	122	78	96
gene_1218	72	50	40	44	38	36	61	32	25	44	49
gene_1219	13	3	62	17	9	14	11	27	62	44	15
gene_1220	1	0	4	1	0	0	2	5	3	0	0
gene_1221	11	7	25	1	0	1	3	3	20	20	2
gene_1222	51	36	56	54	79	49	77	40	54	47	51
gene_1223	14	2	24	2	7	1	14	17	12	14	10
gene_1224	147	111	117	69	109	155	338	71	27	187	335
gene_1225	113	107	95	91	78	80	84	90	114	92	70
gene_1226	1	4	6	4	2	4	8	13	6	8	11
gene_1227	27	39	38	24	38	31	44	31	26	24	35
gene_1228	18	40	34	23	38	30	35	31	41	28	28
gene_1229	170	140	156	164	155	174	174	154	174	173	144
gene_1230	0	33	14	14	25	18	33	10	5	8	18
gene_1231	1	0	3	2	6	2	1	3	2	2	4
gene_1232	13	9	7	6	15	15	10	27	16	25	8
gene_1233	1	0	1	9	0	4	2	4	2	143	0
gene_1234	1	20	15	8	18	11	14	1	14	16	14
gene_1235	52	49	40	55	50	47	57	45	41	53	46
gene_1236	1	1	1	1	0	2	0	1	1	3	2
gene_1237	12	7	20	6	9	10	4	6	10	10	7
gene_1238	0	0	0	0	3	3	3	0	2	0	0
gene_1239	6	5	1	1	6	3	3	1	0	6	2
gene_1240	27	22	45	16	14	39	18	36	14	35	31
gene_1241	4	27	8	9	36	51	25	12	8	13	19
gene_1242	136	163	183	36	130	76	216	96	246	134	187
gene_1243	33	59	18	38	64	40	22	47	34	24	23
gene_1244	16	36	31	31	29	30	47	43	21	32	18
gene_1245	57	99	59	75	53	80	77	89	71	40	57
gene_1246	13	11	9	12	12	11	16	19	18	12	11
gene_1247	4	1	1	6	3	5	2	3	6	11	3
gene_1248	2	1	1	0	1	0	0	1	0	0	0
gene_1249	0	0	0	0	0	1	0	0	0	3	0
gene_1250	0	3	1	0	1	0	0	1	0	0	3
gene_1251	7	3	1	10	2	4	4	5	4	8	1
gene_1252	27	28	14	25	21	16	21	30	32	27	29
gene_1253	82	59	26	57	94	54	35	66	104	30	60
gene_1254	2	0	5	3	0	0	2	1	0	2	0
gene_1255	64	81	90	62	20	14	45	20	82	43	26
gene_1256	11	3	7	7	13	15	4	21	32	20	16
gene_1257	7	22	2	35	26	3	6	2	0	12	2
gene_1258	1	0	1	0	1	3	0	2	3	1	0
gene_1259	16	26	12	22	18	14	10	20	22	13	19
gene_1260	14	15	27	19	74	17	26	40	44	37	9
gene_1261	2	23	4	1	17	27	5	20	7	1	0
gene_1262	295	229	324	470	358	269	305	308	283	285	310
gene_1263	11	3	1	6	2	4	3	1	0	1	4
gene_1264	1	19	9	30	14	12	19	0	61	18	1
gene_1265	37	54	48	19	28	29	56	11	35	16	39
gene_1266	19	40	31	68	20	42	14	25	42	22	52
gene_1267	21	3	110	76	11	0	2	5	14	48	2
gene_1268	145	137	119	124	127	124	124	64	178	148	104
gene_1269	0	0	0	0	0	0	0	0	2	1	0
gene_1270	20	21	3	11	15	23	22	8	12	17	11
gene_1271	54	28	22	70	56	33	49	31	40	67	40
gene_1272	401	345	409	360	327	340	336	350	380	330	352
gene_1273	70	108	71	116	99	76	88	85	118	104	85
gene_1274	3	2	0	1	1	1	0	7	6	2	1
gene_1275	165	66	268	165	247	98	205	120	140	228	130
gene_1276	122	123	113	125	109	121	100	118	107	117	120
gene_1277	107	143	186	59	262	234	94	180	97	53	201
gene_1278	0	2	1	0	0	0	2	2	0	0	0
gene_1279	0	4	1	0	19	8	2	25	0	4	0
gene_1280	18	11	29	4	20	27	41	11	13	13	9
gene_1281	1	1	0	0	6	0	0	0	1	1	0
gene_1282	15	31	27	14	5	43	10	36	18	4	34
gene_1283	199	165	181	305	181	270	290	205	235	193	199
gene_1284	2	15	16	7	10	2	1	4	1	4	2
gene_1285	35	29	28	32	40	36	26	35	32	30	21
gene_1286	68	45	66	98	93	52	63	52	127	43	51
gene_1287	18	17	14	12	17	11	20	17	9	22	10
gene_1288	58	63	56	47	15	44	28	30	38	47	71
gene_1289	0	0	1	1	1	5	2	0	0	1	0
gene_1290	4	4	4	0	2	0	0	0	0	1	2
gene_1291	0	0	0	0	1	0	2	0	1	0	0
gene_1292	21	9	1	5	17	6	3	10	11	15	27
gene_1293	4	0	0	10	1	2	0	0	1	0	1
gene_1294	10	15	7	25	1	13	33	6	7	20	11
gene_1295	19	0	11	2	9	0	25	0	0	65	9
gene_1296	28	29	15	27	28	38	19	30	22	26	18
gene_1297	0	1	0	1	2	0	0	0	0	1	0
gene_1298	26	50	42	48	28	64	46	29	38	72	27
gene_1299	106	71	152	27	40	40	66	38	23	85	32
gene_1300	20	37	34	29	34	41	28	36	43	33	35
gene_1301	182	150	153	109	149	130	152	132	100	179	147
gene_1302	6	15	2	11	7	2	5	7	2	3	4
gene_1303	0	9	0	1	5	4	1	7	0	1	11
gene_1304	5	2	4	8	11	8	5	4	3	0	0
gene_1305	18	12	20	23	19	20	11	12	25	16	6
gene_1306	176	388	257	183	140	74	107	146	48	193	254
gene_1307	0	0	0	5	1	0	1	1	0	0	2
gene_1308	29	28	28	31	28	52	31	42	55	38	34
gene_1309	1	0	1	0	0	1	1	0	0	0	1
gene_1310	82	166	82	66	86	37	200	73	65	98	83
gene_1311	12	9	2	6	5	4	5	3	0	4	4
gene_1312	114	71	97	84	169	203	99	127	100	101	180
gene_1313	11	32	60	65	20	87	16	17	72	52	28
gene_1314	89	135	94	85	78	130	101	110	81	87	129
gene_1315	27	15	13	7	25	22	15	23	25	38	13
gene_1316	4	13	5	3	10	0	1	1	0	55	1
gene_1317	127	141	133	111	155	118	137	141	125	106	137
gene_1318	51	67	55	49	47	47	51	53	59	63	57
gene_1319	12	29	23	29	14	27	20	36	25	16	12
gene_1320	0	8	0	0	0	0	2	0	9	0	2
gene_1321	17	11	9	9	7	18	10	13	11	7	24
gene_1322	10	12	5	5	12	8	10	9	6	17	4
gene_1323	2	1	1	2	2	0	3	11	0	7	0
gene_1324	0	0	3	0	3	0	0	2	1	0	1
gene_1325	10	6	10	8	14	11	6	16	12	13	21
gene_1326	296	218	176	241	162	197	130	238	292	220	244
gene_1327	195	248	151	246	165	228	228	193	245	194	181
gene_1328	28	54	32	75	75	74	5	36	41	44	67
gene_1329	1	0	1	0	0	0	0	1	0	4	0
gene_1330	57	36	38	57	67	98	32	25	55	53	43
gene_1331	16	10	5	11	12	13	5	12	8	3	12
gene_1332	2	3	5	1	1	2	0	1	2	1	2
gene_1333	7	2	7	4	2	2	4	1	4	11	6
gene_1334	45	28	28	44	40	35	26	33	28	38	29
gene_1335	98	69	47	78	87	83	62	66	72	72	61
gene_1336	0	0	0	2	1	2	6	0	0	0	0
gene_1337	3	15	32	26	1	11	1	13	69	0	48
gene_1338	147	137	106	123	107	85	126	75	116	130	123
gene_1339	27	135	29	67	21	27	38	62	27	23	67
gene_1340	16	4	1	0	4	0	0	0	3	0	3
gene_1341	215	219	172	229	233	195	273	257	270	327	203
gene_1342	3	1	0	1	3	0	2	0	5	1	1
gene_1343	1	2	2	14	8	3	2	1	1	10	0
gene_1344	22	10	12	17	11	20	11	16	14	18	24
gene_1345	0	1	3	0	14	6	10	0	3	11	6
gene_1346	5	0	0	23	8	6	6	3	3	4	4
gene_1347	1	1	2	0	0	1	6	5	7	11	2
gene_1348	1	5	5	11	4	0	4	3	2	0	1
gene_1349	0	0	0	0	0	0	4	0	0	1	2
gene_1350	4	1	7	6	7	11	7	5	4	0	6
gene_1351	4	16	59	2	6	30	9	13	15	19	35
gene_1352	45	103	53	63	20	54	78	99	84	97	50
gene_1353	26	13	8	29	26	24	22	12	20	21	26
gene_1354	40	49	62	41	41	25	34	33	19	18	50
gene_1355	35	102	18	50	31	48	92	46	47	72	23
gene_1356	157	172	186	241	197	167	129	161	184	219	226
gene_1357	14	31	31	19	31	13	23	19	28	8	6
gene_1358	1	7	2	3	3	4	2	8	13	4	5
gene_1359	0	11	0	0	0	2	4	2	0	3	0
gene_1360	86	95	153	147	137	104	147	98	105	100	140
gene_1361	3	2	1	10	2	8	0	0	16	1	0
gene_1362	0	8	0	18	0	1	6	13	0	0	0
gene_1363	23	45	12	31	60	35	57	63	61	23	51
gene_1364	14	2	0	5	1	0	0	10	0	1	1
gene_1365	17	15	17	5	12	47	4	8	12	23	17
gene_1366	2	2	8	6	0	7	5	5	4	1	1
gene_1367	23	11	28	63	44	36	27	37	31	89	50
gene_1368	0	1	0	0	0	0	1	0	2	0	0
gene_1369	21	86	22	11	15	18	106	24	32	39	37
gene_1370	89	106	76	125	118	138	100	91	97	116	63
gene_1371	26	86	147	55	29	9	46	87	113	42	103
gene_1372	0	2	0	9	14	3	16	17	7	1	5
gene_1373	2	102	11	12	39	87	38	39	225	307	232
gene_1374	45	27	57	43	39	26	35	43	57	48	44
gene_1375	4	0	6	4	0	0	3	0	6	1	1
gene_1376	0	0	0	0	0	0	1	0	0	0	1
gene_1377	25	19	18	16	19	20	22	18	32	23	20
gene_1378	2	0	2	0	6	0	1	0	1	0	0
gene_1379	11	4	15	2	2	10	11	24	9	6	6
gene_1380	0	0	36	0	15	11	0	0	1	12	6
gene_1381	8	6	11	4	8	10	8	6	5	1	4
gene_1382	14	48	30	21	9	115	58	301	10	13	40
gene_1383	18	31	24	28	18	22	27	29	18	19	20
gene_1384	497	346	529	243	462	571	293	366	153	239	425
gene_1385	3	0	1	2	0	0	0	3	0	3	8
gene_1386	27	19	30	20	28	22	23	23	23	14	22
gene_1387	111	163	159	136	99	190	176	308	197	101	116
gene_1388	0	0	1	0	0	0	0	0	0	0	0
gene_1389	176	198	168	208	115	157	149	180	140	180	157
gene_1390	316	696	415	555	365	952	979	610	782	1263	665
gene_1391	1	0	0	0	1	0	0	0	2	3	0
gene_1392	16	8	21	22	7	25	28	17	19	32	20
gene_1393	1	2	6	13	6	6	13	3	1	2	0
gene_1394	0	1	0	1	0	0	0	0	0	0	0
gene_1395	16	13	27	14	21	19	3	31	43	31	19
gene_1396	71	68	55	37	39	159	76	85	79	42	63
gene_1397	24	13	18	16	8	21	10	24	25	26	5
gene_1398	3	4	19	22	15	8	29	12	3	3	7
gene_1399	131	145	109	93	167	106	123	148	125	133	111
gene_1400	6	2	8	3	13	0	0	2	2	4	3
gene_1401	4	5	4	9	6	5	4	5	3	0	4
gene_1402	450	380	567	696	248	611	468	640	103	351	256
gene_1403	1	0	0	0	0	4	3	1	0	1	0
gene_1404	261	144	246	207	250	163	397	274	169	200	127
gene_1405	9	12	8	12	5	14	72	34	34	36	39
gene_1406	7	3	2	1	6	2	0	1	0	0	7
gene_1407	20	18	34	34	24	16	20	36	37	71	18
gene_1408	9	4	14	1	6	8	16	2	5	3	16
gene_1409	1	5	1	3	2	0	0	8	0	2	3
gene_1410	73	117	77	83	75	133	130	95	79	80	96
gene_1411	3	2	12	22	4	19	1	10	0	13	0
gene_1412	57	57	59	44	40	38	62	87	91	54	60
gene_1413	4	34	8	23	11	6	20	9	19	20	3
gene_1414	22	1	0	1	1	1	1	7	44	2	13
gene_1415	145	114	91	134	124	155	130	118	131	149	97
gene_1416	15	37	28	37	54	33	21	23	48	23	12
gene_1417	8	14	3	12	10	8	12	9	15	9	19
gene_1418	0	1	0	1	0	1	0	0	0	0	0
gene_1419	0	0	1	1	0	0	0	0	0	0	0
gene_1420	31	28	33	31	39	30	26	37	43	31	25
gene_1421	84	92	11	21	102	27	62	74	28	112	18
gene_1422	113	106	63	75	127	66	109	96	71	126	134
gene_1423	210	206	226	172	211	207	199	214	200	222	208
gene_1424	16	19	13	6	17	19	15	9	11	20	10
gene_1425	211	168	209	195	241	239	231	201	238	181	180
gene_1426	98	62	19	10	101	8	82	85	57	97	82
gene_1427	2	1	18	3	2	2	0	0	0	2	2
gene_1428	0	0	4	7	0	1	1	2	3	3	7
gene_1429	0	0	4	3	2	0	2	0	2	2	1
gene_1430	10	5	25	6	17	20	8	20	33	18	3
gene_1431	16	21	7	10	2	7	7	5	7	7	17
gene_1432	45	53	40	33	43	45	49	74	35	78	47
gene_1433	31	30	15	30	8	29	28	38	24	29	19
gene_1434	651	611	564	360	601	564	249	608	727	604	442
gene_1435	3	13	0	2	10	12	0	19	1	18	17
gene_1436	79	51	48	37	46	49	68	43	54	30	48
gene_1437	175	139	186	156	140	164	160	200	156	170	171
gene_1438	0	0	0	8	0	0	0	1	1	0	7
gene_1439	0	0	1	1	0	0	0	0	0	1	0
gene_1440	2	4	1	0	0	4	0	0	0	1	0
gene_1441	123	128	122	91	125	114	129	120	152	115	119
gene_1442	56	44	35	21	56	50	56	103	95	27	6
gene_1443	0	1	0	0	1	0	0	0	0	0	0
gene_1444	0	0	0	0	0	1	0	0	0	2	0
gene_1445	29	5	0	0	4	4	5	5	0	0	11
gene_1446	0	2	1	0	0	0	0	0	0	1	1
gene_1447	0	0	4	0	0	0	1	2	1	0	4
gene_1448	0	1	0	5	0	0	0	0	0	0	0
gene_1449	0	0	1	0	0	0	0	0	0	0	1
gene_1450	2	0	0	2	3	2	1	0	6	1	0
gene_1451	189	173	174	200	189	193	188	204	184	185	157
gene_1452	2	0	0	6	0	0	0	6	2	2	0
gene_1453	12	13	2	12	4	1	12	11	11	6	8
gene_1454	1	3	1	0	2	2	2	1	4	1	3
gene_1455	47	63	42	53	54	49	42	70	60	52	39
gene_1456	6	3	10	3	11	5	2	9	3	6	4
gene_1457	1	0	0	1	0	1	3	0	2	0	0
gene_1458	69	58	68	85	28	73	75	63	58	64	41
gene_1459	63	60	69	55	71	67	47	57	96	78	72
gene_1460	0	5	5	4	13	0	15	21	1	25	1
gene_1461	4066	3510	797	2570	2496	2089	1980	809	2243	1189	1384
gene_1462	1	0	2	2	5	0	3	4	16	1	0
gene_1463	50	35	41	49	23	24	36	47	45	47	33
gene_1464	9	8	13	8	3	12	4	15	1	0	21
gene_1465	1	0	0	1	0	0	0	2	3	0	1
gene_1466	0	0	1	0	4	3	2	0	2	4	2
gene_1467	8	6	3	1	6	2	3	1	7	6	5
gene_1468	209	147	119	462	152	304	69	124	108	272	161
gene_1469	183	177	245	109	217	196	189	253	183	172	221
gene_1470	28	18	13	28	25	19	33	11	25	29	22
gene_1471	1	3	3	0	6	5	4	3	4	0	0
gene_1472	0	1	0	6	0	1	1	0	0	0	0
gene_1473	25	6	6	15	17	17	10	16	5	15	27
gene_1474	54	3	7	0	0	4	1	10	1	30	0
gene_1475	0	8	0	1	2	0	0	1	0	1	1
gene_1476	51	29	40	19	14	38	8	7	23	65	30
gene_1477	1	1	8	13	7	27	0	24	19	7	3
gene_1478	280	343	417	422	366	215	564	252	249	415	428
gene_1479	0	0	0	0	0	0	0	0	1	0	2
gene_1480	0	6	3	0	4	12	14	4	3	4	6
gene_1481	91	98	71	176	172	99	127	151	113	81	142
gene_1482	4	5	9	9	0	1	5	0	3	2	1
gene_1483	24	28	40	26	23	52	43	33	26	44	47
gene_1484	20	38	11	40	9	10	27	12	9	23	82
gene_1485	26	19	30	28	17	20	22	22	42	19	24
gene_1486	40	12	41	22	16	14	16	48	39	19	24
gene_1487	309	330	160	113	450	166	196	278	160	222	155
gene_1488	20	17	6	19	14	11	12	23	22	14	16
gene_1489	0	0	0	0	0	0	1	0	0	0	2
gene_1490	123	75	88	91	77	83	86	101	103	85	150
gene_1491	2	7	7	1	3	2	2	3	4	2	1
gene_1492	5	25	23	15	9	43	15	5	8	11	7
gene_1493	24	31	38	26	29	34	30	28	37	33	38
gene_1494	31	14	65	21	51	52	70	32	11	16	33
gene_1495	21	17	14	26	31	35	10	16	31	18	30
gene_1496	439	285	213	259	392	308	277	280	195	318	375
gene_1497	194	222	234	283	165	168	174	191	116	150	141
gene_1498	2	1	0	0	0	2	3	8	6	3	10
gene_1499	28	15	23	36	24	42	16	44	20	23	32
gene_1500	109	93	145	110	112	93	145	130	111	89	138
gene_1501	1	2	4	0	0	1	14	14	6	7	0
gene_1502	71	115	44	85	75	31	35	69	8	28	26
gene_1503	11	0	1	0	0	9	0	0	0	0	0
gene_1504	64	49	30	22	36	256	83	121	39	47	9
gene_1505	0	0	0	1	3	0	3	1	0	0	1
gene_1506	4	12	9	4	8	1	11	4	0	3	7
gene_1507	16	10	17	4	6	13	14	13	14	12	5
gene_1508	0	4	4	1	2	0	5	0	5	2	2
gene_1509	6	37	15	4	6	7	9	6	5	12	5
gene_1510	16	15	11	9	15	7	12	6	22	12	11
gene_1511	82	152	38	329	30	281	61	349	168	182	147
gene_1512	0	8	0	0	0	0	0	7	1	14	0
gene_1513	5	0	1	1	7	14	28	0	2	1	4
gene_1514	17	2	6	13	37	14	5	4	17	21	0
gene_1515	7	0	1	0	3	4	0	1	1	3	0
gene_1516	65	73	59	33	61	45	37	51	56	59	48
gene_1517	11	22	19	8	28	1	5	12	27	10	38
gene_1518	1	2	7	4	6	2	2	0	4	0	0
gene_1519	0	1	0	0	1	0	0	0	0	0	1
